,User,Tweet
0,Oprah,"Thank you @MichelleObama for these beautiful words. I’ll cherish them as much I treasure and cherish you. Thank you @TIME for this honor. #TIME100 
https://t.co/96eH5UiENM"
1,Oprah,"I visited the set of #TheColorPurple &amp; we cried, we sang, &amp; we even did the Electric Slide. I can tell you for sure this ain’t your mama’s Color Purple—but I bet you, your mama, and the whole family is gonna love this new reimagined and evolved version!https://t.co/vApw6qcYjL"
2,Oprah,"Join us now as @violadavis answers questions about her best-selling memoir #FindingMe over at @OprahDaily! Bring some 🍷 cause we’re reading, discussing, and sipping! @oprahsbookclub #ReadWithUs https://t.co/nojihb6kzd"
3,Oprah,"A year ago, I released #WhatHappenedToYou with @BDPerry. Our hope was that the book would help people heal from their childhood traumas and shift the question from “What’s wrong with you?” to “What happened to you?” https://t.co/UlBJJVolPw"
4,Oprah,3 different hospitals didn’t think Gary Fowler was sick enough with COVID. He went back home and died. #TheColorOfCare is for all the Gary Fowlers out there—and it's airing NOW on @SmithsonianChan. You can also watch the full documentary on YouTube: https://t.co/AYYPQrq2rg
5,Oprah,What if I told you the biggest indicator of how long you’re going to live is your zip code? #TheColorOfCare chronicles how people of color suffer from systemically substandard healthcare in the United States and how COVID-19 exposed the tragic consequences of these inequities. https://t.co/uDe64Z8HvW
6,Oprah,The day has come! Oprah + Viola: A Netflix Special Event is out now! @violadavis @netflix https://t.co/askmfFYGKS
7,Oprah,"The next @oprahsbookclub pick is “Finding Me” by @violadavis (out on 4/26)! It’s a breathtaking memoir, that covers every chapter of her extraordinary life so far. https://t.co/cxSwtpbOSJ"
8,Oprah,Pull up a chair. Oprah + Viola: A Netflix Special Event launches April 22! @violadavis @netflix https://t.co/Ms5Ej3fGUf
9,Oprah,"Today I'm joining @GlblCtzn to say thank you to all the allies who have volunteered, donated, spoken out &amp; risked their lives to #StandUpForUkraine. The Ukranian refugees &amp; refugees all over the world need critical assistance. Visit https://t.co/77MJz8H7Bf for ways you can help. https://t.co/kVz98pH3uI"
10,Oprah,Judge Ketanji Brown Jackson 🇺🇸 https://t.co/SWuj7Tfz7o
11,Oprah,"Surreal! You know why?? Cause the “Good Lord Works in Mysterious Ways” 👏🏾👏🏾 . So fun to see you in your element giving new Vision new imagination, new life to the Color Purple Musical. @BlitzAmbassador https://t.co/ewFud1DjS8"
12,Oprah,"Join us now!

https://t.co/8ni4bcgDVC https://t.co/VLBXQxsJsM"
13,Oprah,"Join us for ""The Life You Want"" Class right now! @MarthaBeck is here to talk all things INTEGRITY! Best part? It's FREE! @OprahDaily 
https://t.co/B0NDkMvvS6"
14,Oprah,"My next @oprahsbookclub pick is “The Way of Integrity” by @MarthaBeck. For over 15 years, I have looked to Martha for her wisdom and marveled at how she helps people through crises in their lives. #ReadWithUs https://t.co/MuPQ8AxRKY"
15,Oprah,"Sofia will always have my heart and I am ready to pass the purple baton on to the incredible @thedanieb who will bring her version to a new generation. See y’all at the movies when The Color Purple: The Musical hits theaters on December 20, 2023! https://t.co/XkOh6b16Qu"
16,Oprah,"Next time you receive change from a cashier, take a look at the palm of your hand: There's a chance Maya Angelou will be staring back at you on a quarter. This marks the first time a Black woman has appeared on one. What a beautiful moment. Maya, look at what you did! 🪙🙏🏾 https://t.co/nVUirrebmi"
17,Oprah,"Live now! Join us here for ""The Life You Want"" Class: https://t.co/3244XAXxKv https://t.co/pStUMVpY6l"
18,Oprah,It’s BYOB (bring your own bottle) tonight at @owntv with the second episode of @KingsOfNapa! It’s about a family who owns their own vineyard. The wine is delicious but the drama is even juicier! See y’all tonight at 8|7c🍷🍷🍷 #KingsOfNapa https://t.co/bPMVKzH2ni
19,Oprah,"Happy 10 years to my bestie @GayleKing, who's in the seat of her life! https://t.co/acpHSDk7qH"
20,Oprah,Sidney Poitier 🕊 https://t.co/otVjSFHaw8
21,Oprah,"HellURRRRRR. It's ME.
I'm ready for our sit down convo. Need to know what you'll be wearing so I can coordinate colors and set background. Have your people call my people. https://t.co/CO35M1HBOP"
22,Oprah,Celebrating 99 years of your love on the planet. Thank you Betty White 🙏🏾 https://t.co/NUmNq1BOZ9
23,Oprah,"One of the greatest most peaceful Souls has left the planet. A hope giver, peace maker, justice warrior. Thank you Archbishop Desmond Tutu 🙏🏾 https://t.co/HzyZHKiMef"
24,Oprah,Thank you dear sister ⁦@aliciakeys⁩ and to her son Egypt for a new favorite version of this classic 🌈🌈🌈  https://t.co/bwnNOMu0Sd
