,User,Tweet
0,Oprah,"Thank you @MichelleObama for these beautiful words. I’ll cherish them as much I treasure and cherish you. Thank you @TIME for this honor. #TIME100 
https://t.co/96eH5UiENM"
1,Oprah,"I visited the set of #TheColorPurple &amp; we cried, we sang, &amp; we even did the Electric Slide. I can tell you for sure this ain’t your mama’s Color Purple—but I bet you, your mama, and the whole family is gonna love this new reimagined and evolved version!https://t.co/vApw6qcYjL"
2,Oprah,"Join us now as @violadavis answers questions about her best-selling memoir #FindingMe over at @OprahDaily! Bring some 🍷 cause we’re reading, discussing, and sipping! @oprahsbookclub #ReadWithUs https://t.co/nojihb6kzd"
3,Oprah,"#WhatHappenedToYou is available at https://t.co/KoSFnfIj4d, or wherever you buy or download your books."
4,Oprah,Thank you to everyone who bought the book. I’m especially grateful to all of you who connected and made your own discoveries. https://t.co/OssrYkeMxY
5,Oprah,"What actually ended up happening was far greater than this little girl born in Kosciusko, Mississippi—and everything she went through—could’ve ever dreamed of. Not only did it spend one full year on the @nytimes bestseller list, but it connected with so many of you. https://t.co/9ytFAVJCCn"
6,Oprah,"A year ago, I released #WhatHappenedToYou with @BDPerry. Our hope was that the book would help people heal from their childhood traumas and shift the question from “What’s wrong with you?” to “What happened to you?” https://t.co/UlBJJVolPw"
7,Oprah,3 different hospitals didn’t think Gary Fowler was sick enough with COVID. He went back home and died. #TheColorOfCare is for all the Gary Fowlers out there—and it's airing NOW on @SmithsonianChan. You can also watch the full documentary on YouTube: https://t.co/AYYPQrq2rg
8,Oprah,I hope you can join us this Sunday 5/1 at 8|7c when this original documentary premieres on @SmithsonianChan!
9,Oprah,What if I told you the biggest indicator of how long you’re going to live is your zip code? #TheColorOfCare chronicles how people of color suffer from systemically substandard healthcare in the United States and how COVID-19 exposed the tragic consequences of these inequities. https://t.co/uDe64Z8HvW
10,Oprah,The day has come! Oprah + Viola: A Netflix Special Event is out now! @violadavis @netflix https://t.co/askmfFYGKS
11,Oprah,There are so many great lessons about triumphing through adversities that you won’t be able to put the book down. Follow @oprahsbookclub to watch my full announcement and stream our conversation tomorrow on @netflix! #ReadWithUs
12,Oprah,From her beginnings in a one room shack on a former plantation in South Carolina to becoming the first actress to win the triple crown of acting.
13,Oprah,"The next @oprahsbookclub pick is “Finding Me” by @violadavis (out on 4/26)! It’s a breathtaking memoir, that covers every chapter of her extraordinary life so far. https://t.co/cxSwtpbOSJ"
14,Oprah,Pull up a chair. Oprah + Viola: A Netflix Special Event launches April 22! @violadavis @netflix https://t.co/Ms5Ej3fGUf
15,Oprah,"Today I'm joining @GlblCtzn to say thank you to all the allies who have volunteered, donated, spoken out &amp; risked their lives to #StandUpForUkraine. The Ukranian refugees &amp; refugees all over the world need critical assistance. Visit https://t.co/77MJz8H7Bf for ways you can help. https://t.co/kVz98pH3uI"
16,Oprah,Judge Ketanji Brown Jackson 🇺🇸 https://t.co/SWuj7Tfz7o
17,Oprah,"@LizToo2010 @nada0971 Yes Liz such a loss to all of us. She Lived her Light. I called to speak to her on Wednesday. Unfortunately too late, she was in the process of transitioning. Spoke to her beautiful daughters yesterday. As you know grief is a process. 🙏🏾"
18,Oprah,"Surreal! You know why?? Cause the “Good Lord Works in Mysterious Ways” 👏🏾👏🏾 . So fun to see you in your element giving new Vision new imagination, new life to the Color Purple Musical. @BlitzAmbassador https://t.co/ewFud1DjS8"
19,Oprah,"Join us now!

https://t.co/8ni4bcgDVC https://t.co/VLBXQxsJsM"
20,Oprah,"Join us for ""The Life You Want"" Class right now! @MarthaBeck is here to talk all things INTEGRITY! Best part? It's FREE! @OprahDaily 
https://t.co/B0NDkMvvS6"
21,Oprah,Tap the link here to sign up for the FREE @oprahdaily class and follow @oprahsbookclub to watch my full announcement: https://t.co/B0NDkMvvS6
22,Oprah,We’ll be talking how we can all live with integrity so we never spend time questioning ourselves because our beliefs and actions are working in perfect harmony.
23,Oprah,"As we all navigate this watershed moment in our collective history, this book provides a roadmap on the journey to truth and authenticity. And to kick things off, Martha will join me for tonight’s “The Life You Want” Class at 7 PM EST at https://t.co/xIyfVphTHU."
24,Oprah,"My next @oprahsbookclub pick is “The Way of Integrity” by @MarthaBeck. For over 15 years, I have looked to Martha for her wisdom and marveled at how she helps people through crises in their lives. #ReadWithUs https://t.co/MuPQ8AxRKY"
25,Oprah,"Sofia will always have my heart and I am ready to pass the purple baton on to the incredible @thedanieb who will bring her version to a new generation. See y’all at the movies when The Color Purple: The Musical hits theaters on December 20, 2023! https://t.co/XkOh6b16Qu"
