,User,Tweet
0,TheEllenShow,Jennifer Aniston really leaned into change when #Friends ended. https://t.co/CeIABULvtS
1,TheEllenShow,"Thank you for making this for me, @BrunoMars. It is so so thoughtful. https://t.co/J6T6GS1HeY"
2,TheEllenShow,The Lucky 13 are an incredible group of people who we’ve helped over the years. Yesterday I welcomed them back one final time. https://t.co/zcSiS2N8y8
3,TheEllenShow,"Twenty years ago, we filmed test shows in my living room hoping that we would get to make a real talk show. Thanks to my friends @TomHanks, @HelenHunt, and @Alanis for being my first ever interviewees. https://t.co/qMSLlmCSSk"
4,TheEllenShow,I ❤️ @Official_tWitch a lot. https://t.co/FV93j9Yi9Y
5,TheEllenShow,Kids deserve #MoreThanThoughtsAndPrayers from leaders elected to protect them from gun violence. Join the movement to #EndGunViolence Text ACT to 644-33. @StudentsDemand https://t.co/sovcFZMCK6
6,TheEllenShow,Full circle. https://t.co/YyThNk9qyZ
7,TheEllenShow,Thank you.❤️ https://t.co/D1ZwgH7tbu
8,TheEllenShow,It’s only fitting to have the voice behind our theme song on the final episode. @Pink https://t.co/RcegO0RZ6v
9,TheEllenShow,"I was with @BillieEilish for her first daytime TV performance, and now she’s with me for my series finale. https://t.co/M6KsZK7R8R"
10,TheEllenShow,My first guest and my last❤️ #JenniferAniston https://t.co/ux046U3ZOH
11,TheEllenShow,My final monologue.❤️ #EllensFinalSeason https://t.co/CrnW72klYV
12,TheEllenShow,The final episode. Tomorrow. https://t.co/E3yKaLzHTd
13,TheEllenShow,"If anyone knows what it’s like to end a long running talk show, it’s @Oprah. https://t.co/7UsqYgbmMK"
14,TheEllenShow,.@Oprah thought that my campaign to be on “O Magazine” was a joke… little did she know. https://t.co/BjZDVgcn5e
15,TheEllenShow,I loved spotting Mila Kunis in my audience today. https://t.co/0G9VGvan8r
16,TheEllenShow,"We went from playing “What That Do?,” to “What They Do?,” and now we’re wrapping up with “What They Did.” https://t.co/WIj3hHPJ8L"
17,TheEllenShow,3 days left of The Ellen Show. #EllensFinalSeason https://t.co/aFT64t9bvW
18,TheEllenShow,".@HowieMandel and I played “Heads Up!” from very different time zones… we swear. And now you can play, too. To play: Start a video call, tap the smiley face, tap on ‘Group Effects,’ and you’ll see the “Heads Up!” ‘Group Effect’ at the top of the tray. https://t.co/z9RhdI895x"
19,TheEllenShow,.@JTimberlake helped me say goodbye to the Warner Bros. lot today. https://t.co/pWnBIcrQmr
20,TheEllenShow,I’m so proud of my whole staff and what they’ve accomplished. https://t.co/w5nt3W1sgT
21,TheEllenShow,.@JBalvin loves being a dad. https://t.co/cyKK59dzJd
22,TheEllenShow,"Thanks for the sweet goodbyes, @KrisJenner @KimKardashian @KhloeKardashian❤️ https://t.co/GFiGUJDkA2"
23,TheEllenShow,Jennifer Lawrence used to imagine I was interviewing her when she sat on the toilet. https://t.co/yJ2iY6YC9u
24,TheEllenShow,Only 4 more days. #EllensFinalSeason https://t.co/7zdxUkmo2l
25,TheEllenShow,5 days left... #EllensFinalSeason https://t.co/L9FCtwETUC
26,TheEllenShow,This is the final game of #DangerWord. For real this time. @Official_tWitch https://t.co/irMMecULWL
27,TheEllenShow,"Happy birthday, Mama. I love you. https://t.co/yhXTOSJxLO"
28,TheEllenShow,Is @DrewBrees considering coming out of retirement? https://t.co/T97XciBqu3
29,TheEllenShow,The very last round of #StaffSecrets. https://t.co/EEAWfBcUeV
30,TheEllenShow,What’s a corn stool you ask? The gift @BradPaisley just gave his wife. https://t.co/bQpLWpQAGQ
31,TheEllenShow,8 more days… Here are some highlights from Season 8. #EllensFinalSeason https://t.co/qpTGSxXzsz
32,TheEllenShow,I give you: the anatomy of a scare. https://t.co/StoBd0j5jk
33,TheEllenShow,.@KerryWashington’s #Scandal co-stars were not pleased with her for telling me which one of them was the better kisser. https://t.co/T5ZypggXHI
