,User,Tweet
0,katyperry,"found a new furry friend who wants to #PLAY🍄 

GOOD THING IM BACK AT @RESORTSWORLDLV TONIGHT! 3 shows this weekend see ya there 😘 https://t.co/fqJ9qedDmZ"
1,katyperry,Congratulations to this lucky winner of the #whatmakesyoufeelgood @drinkdesoi challenge! I wish u and ur soulmate the thirstiest of thursdays and the happiest life together 🥹🥰 https://t.co/kpxL8Yd40A
2,katyperry,"you didn’t think I’d do a Vegas residency without bringing the LEWKS did ya? see how the costume process was both 🤩INSPIRING🤩 and 🤬RAGE INDUCING🤬 and then I’ll see ya when I’m back in Vegas this weekend to #PLAY🍄

https://t.co/bVwtth7PdT"
3,katyperry,"Memorial Day Weekend marks the official beginning of ☀️summer☀️ so keep it beachy keen, Geli queens 👑 @kpcollections https://t.co/2jGbOi2wGY"
4,katyperry,Did I mention I’m performing twice on the #IdolFinale? It’s about to get lit with @_LeahMarlene 🎆 broom 🎶broom broom ya I’m sweepin up the room room room🎶 😎 https://t.co/5RNogTlgkp
5,katyperry,#AMERICANIDOL FINALE IS ON NOW ✌🏼OTE  ✌🏼OTE  ✌🏼OTE https://t.co/J19wwAIdip
6,katyperry,OMG WE FIND OUT WHO THE NEXT #AMERICANIDOL IS TONIGHT AHDIEHEUFKKEHSVXVJ TUNE IN AT 5PM PT / 8PM ET FOR THE 3 HR FINALE TO SEE SOME PERFORMANCES (including the first ever performance of me and my friend @ThomasRhett song “Where We Started” 🙋🏻‍♀️🤠) AND TO VOTE LIVE DUH https://t.co/spyDmQJaOq
7,katyperry,"its 5:00 (in California) on #thirstythursday, when I sip u sip we sip @drinkdesoi WHO’S WITH ME 😎 https://t.co/gjVZNErv4g"
8,katyperry,ASW FTW 🎲 https://t.co/XJyEjjcXZh
9,katyperry,🛎❗️RING DING DONG❗️🛎  ummm thank u @JustEatUK for making all my food fantasies come true 🥹🍣🍕🌮🥗😋 #ad https://t.co/5E2YwaxFAi
10,katyperry,You won’t have to fish for compliments in these fisherman Geli’s 🎣 Make them jelly and be a catch this #shoesdaytuesday 💁🏻‍♀️😜 @kpcollections https://t.co/57RYlHoULA
11,katyperry,a 🎶🍕MUSICAL MASTERPIZZA🍕🎶 is coming… Stay tuned 👀 18.05.22 @JustEatUK #ad https://t.co/UYS91WpCz2
12,katyperry,LIVE TELEVISION #americanidol https://t.co/IVUAvssCnd
13,katyperry,bringing ⚔️ vibes with my lewk today cause the top 5 contestants are bringing their fangs out to get to the finale too okayyy 🫣 #americanidol https://t.co/HJV36nItXW
14,katyperry,"Hi, I’m Melody!🎶 https://t.co/VgRePTC2jt"
15,katyperry,"Don’t want to drive a WEDGE between you and your other shoes, but here’s your new @kpcollections spring fav ❤️‍🔥 celebrate #shoesday and get urs @Macys 💁🏻‍♀️ https://t.co/6fDAovTJGO"
16,katyperry,"For all the moms on the west coast, tune in to see the thank u Jesus #americanidol contestants that made it 😅💖 https://t.co/0uco3WL6nF"
17,katyperry,Of CORSET you’re watching #americanidol rn riiight? 🎀 https://t.co/FH79j5wOIK
18,katyperry,tis a pleasure @CBSEveningNews 😊 T minus 3 more weeks til I’m back in Vegas to PLAY🤸🏻‍♀️🍄 https://t.co/HK4YTKtbFo
19,katyperry,when u got some more gilded glamour but it’s also #shoesdaytuesday ⬇️ to see some @kpcollections guilded glamour to build ur look at home 😍😛 https://t.co/IoULxmfgoS
20,katyperry,darling darkness 🖤 @OscardelaRenta https://t.co/VrVcUfPK1b
21,katyperry,"No, this is not my MET dress but you know I’m always keeping it *~eLeVaTeD~* on #americanidol☝🏻💃 (PS the 20th year reunion ep is on tonight at 8/7c) https://t.co/GXgh46bnoY"
22,katyperry,the remix 😎 #americanidol https://t.co/b27NdRCEXY
23,katyperry,Flippin’ your fins you don’t get too far 🧜🏻‍♀️😅 #americanidol https://t.co/JCYdaAHRnu
24,katyperry,"Magic mirror on the wall 
Disney Night’s the best of all
West coast, tune in for a rerun
Maybe you’ll see Ariel fall on her bum 

#americanidol https://t.co/0GuZupdjX5"
25,katyperry,i have to go to the bathroom 🧜🏻‍♀️ #AmericanIdol
26,katyperry,showed his true colors pfffttt we all have that one friend 🙄 #AmericanIdol https://t.co/ieGHO3PRdb
27,katyperry,"look at this #americanidol episode, isn’t it neat? https://t.co/WAnBvQGmdn"
28,katyperry,mermaid down #americanidol
29,katyperry,"Dug around THE Disney Closet to get some magical inspo for #AmericanIdol’s DISNEY NIGHT (obvi my fav!) Who do you think I’ll be?! 😈 Comment with the right emoji below ⬇️ 

Sexy Pinocchio: 🤥
Grandpa from Up: 👴🏼
Ariel: 🧜🏻‍♀️ https://t.co/E72J6hPmQo"
30,katyperry,today’s #shoesdaytuesday is for when things are going 〰️🐠swimmingly🐠〰️ @kpcollections https://t.co/N532szZVkL
31,katyperry,"BREAKING NEWS‼️ LATY PERRY FOR THE WIN (tie, whatever 🙄) FROM BEHIND… never bet against me 😏🏆🙌🏼 leave a comment if you think they should’ve sang more of my picks 🤪 #americanidol https://t.co/4KoYARTisq"
32,katyperry,"we’re live on #americanidol right now and you have less than 2 hours to vote so HOLD OFF UR DINNER, NO BATHROOM BREAKS 😬, AND DONT LOSE UR RIGHT TO VOTE UR FAV ISNT SAFE https://t.co/5b7K4kdbM2"
33,katyperry,you’re only as good as your glam (watch @americanidol again tomorrow k byee) 🌵💚 https://t.co/bgyWL0Thbr
34,katyperry,"Voting opens at the START of the show, so vote early and vote as many times as you can for your favorites! YOU HAVE LESS THAN ✌🏼 HOURS TO VOTE!

You can vote 3 ways: https://t.co/MZVX4xCyJe, by text, and via the app 💁🏻‍♀️ #americanidol https://t.co/UZO8Tkowi5"
35,katyperry,"Looking (and feeling) like a margarita 💚 

TONIGHT &amp; TOMORROW #AmericanIdol is LIVE COAST-TO-COAST at 8e/5p on @abcnetwork https://t.co/hvgw6r89Ws"
36,katyperry,this SLAPS https://t.co/eFXMMGASuF
37,katyperry,"in my formally uneducated, mere popstar opinion, getting the internet to become accountable is the most important issue of our time but don’t believe me, read/listen to the data 🤷🏻‍♀️ https://t.co/Ewm4wk3W4z"
38,katyperry,typically I don’t acknowledge every silly holiday 👀 but allegedly #nationalpicnicday is this weekend and I couldn’t help but think of how cute a pink gingham picnic would be 💞🧺😊 get urs @Nordstrom https://t.co/lLv36xCYR4
39,katyperry,west coast watch ur #americanidol top 20 turn into a top 14 omg 🫠 https://t.co/dIn6cml4BW
40,katyperry,BTS lookin like a baby chick on #americanidol rn https://t.co/pD3y8lclV4
41,katyperry,which of the #americanidol top 20 am I reacting to? 🤔 guess ⬇️ and then VOTE for who u wanna see in the top 14 ok https://t.co/scOlYUPeUC
42,katyperry,omg my lil chick 😩 #americanidol https://t.co/82iIEI2vsD
43,katyperry,a platinum ✨LEWK✨ for our platinum szn 🤗 our #americanidol TOP 20 bring it to the big stage right now 😘 https://t.co/wL6MMawXLb
44,katyperry,🐰somebunny🐰 is going to make the top 20 and you’re going to decide who it’ll be 👀 tune in to #americanidol tonight and vote starting 8p PT! 🗳 https://t.co/08SQJqNUiG
45,katyperry,Cover your Easter garden in daisies with The Gardener 🌼🐰 the newest sandal now available now at @kpcollections 🤗 #shoesdaytuesday https://t.co/5OUEuA08V3
46,katyperry,if you’re watching #americanidol stick around after for the WORLD PREMIERE on @JimmyKimmelLive of your next favorite ear worm (think baby shark but better?) - #yumyumnomnomtoottootpoop #kp6 https://t.co/fbxyDHzPML
47,katyperry,thank you for truly seeing us 🥺 #AmericanIdol https://t.co/DTDQa6PhJi
48,katyperry,tune in to #americanidol right now to see if @LionelRichie slips a disc 🦴😅 https://t.co/Jhuw9tBdgP
49,katyperry,i went to hawaii to film #americanidol and daisy finally met mickey and she thought mickey was a cow so she moo’d at him. lol watch @americanidol tonight https://t.co/iPufOmqPvx
50,katyperry,west coast this is just a TASTE of what you’re missin for real ur turn to watch #americanidol rn and oh ya don’t forget to vote k https://t.co/ZdKdmAe3U4
