,User,Tweet
0,stevewoz,"This hurts me more and more each time. I feel as though one of my own was killed. Some say it was a deranged individual but won’t support full background checks.. As I always say, anyone who might get mad should not have a gun.

https://t.co/O8KXEiEUIq"
1,stevewoz,"Here is a digital (.pdf) version of the book:
https://t.co/GAdlQ9LVkU

Woz - being who you are, I'm sure people ask you for all types of things. My only asks to you were the podcast interview and the Foreword to the book. And you so graciously provided them."
2,stevewoz,Wearing my mask on airplanes https://t.co/NBGyqB38CY
3,stevewoz,"Things I have long believed...
https://t.co/dLp1mOOWCp"
4,stevewoz,@johnondrasik Great lyrics when you want to sing along and feel it.
5,stevewoz,"Our new EV is a Lucid Air.
https://t.co/CwBK4DpNmp"
6,stevewoz,"https://t.co/PvgYKWZfiq
Alex has financed Unicorn Hunters where startups make pitches to an online audience. Alex also created a ‘Unicoin’ token based on the success of  investments, like stock.

I am proud to have Alex as a friend.
https://t.co/3YSrLKZ1Lc
https://t.co/0MT15zXvkZ"
7,stevewoz,https://t.co/GtBqrgLMwq I like this song.
8,stevewoz,"@ellemm8ch Correct. Tesla horrible, even compared to our Bolt EV. But when it's extremely tinny, you notice. We had to turn off favorite songs partway through the one time we tried Spotify. Normally we stream on Apple Music, at home and in the car. Tesla is never very satisfying for music."
9,stevewoz,@Colby80 We are constantly on long road trips over deserts and mountains and cellular is spotty. The sats are there. There is a large difference in music quality between stations on SiriusXM too. I don't know if that is hardware (bandwidth limiting) or software (station choices).
10,stevewoz,"@ucpete At home, SiriusXM is a poor choice for music, but on long road trips, over deserts and mountains, cellular connection is spotty but the sats are always there."
11,stevewoz,"@IAmElMexiken @DrSej With the Tesla premium sound system, even our Bolt EV sounded better. Tesla is low for sound quality."
12,stevewoz,I cancelled my Spotify account. There are plenty of alternatives . It’s not just Joe Rogen or Neil Young. Recently our Tesla SiriusXM radio went out so I listened to a favorite song on Spotify. The sound was  tinny and awful.  Spotify doesn't care about the same things that I do.
13,stevewoz,"I’m excited to give a keynote at @starburstdata’s #Datanova 2022: The #DataMesh Summit on February 9! I’ll be sharing the Apple story and my thoughts on innovation, creativity, education, and the future of technology. Register now: https://t.co/lyWwJHX3gM"
14,stevewoz,Birds of a Feather Rescue Has to Relocate https://t.co/hT8CZPqqpD
15,stevewoz,What our startup Privateer is about. It's really driven by the good thinking of Moriba Jah. https://t.co/d3KwU9KNRp
16,stevewoz,"I'm excited to be giving a keynote at @starburstdata’s #Datanova 2022: The #DataMesh Summit on February 9! Join me to hear my thoughts on innovation, creativity, education, and the future of technology. Register now: https://t.co/PmmJAbZSZt"
17,stevewoz,"I'm getting mask fatigue.
https://t.co/QkLDOBcUFJ"
18,stevewoz,@dogetribepup short verification video coming...I'm at a place with virtually no bandwidth yet.
19,stevewoz,"Come chat with me about the future of technology, innovation, and creativity at the free and virtual #OpenSourceSecuritySummit organized by @bitwarden, December 9. Save your seat: https://t.co/bviJyKqhe6"
20,stevewoz,"Join me at the virtual #OpenSourceSecuritySummit December 9th, organized by @bitwarden. We’ll explore one of my favorite topics - how to create technology within reach of everyone. Free registration https://t.co/IHDt5qvvZU"
21,stevewoz,"Join me for the next @VocusComm Inspire event, A conversation with Woz, where I'll be sharing thoughts about entrepreneurship, driving an innovative culture, and the future of the tech industry. It’s at 1pm (AEDT) on Tue 16 Nov on Zoom. Register here https://t.co/20f0XTpHPo"
22,stevewoz,"I met a jury member after a trial and he has sent me a number of songs and videos, which he edits himself. This is the latest one he sent me. He goes by Electricsol.
https://t.co/Xu0F90JRSm"
23,stevewoz,A very worthy book by someone who knew Steve Jobs well and worked directly with him. https://t.co/QEFTNHvI1R
24,stevewoz,"Join me @YourStoryCo's #TechSparks2021 event for a chat with @SharmaShradha. We’re discussing what's next as we rethink the future of everything through disruptive tech. Excited to virtually meet Indian innovators &amp; startups on Oct 25, 6:00 AM PST. https://t.co/fzarwc7Zgk"
25,stevewoz,"Congratulations to our team @EfforceOfficial for listing $WOZX on @HuobiGlobal this week! We still have a long way ahead of us, but these milestones get us one step closer to our goals. #EFFORCE"
26,stevewoz,"A Private space company is starting up, unlike the others. https://t.co/6s8J32mjuF"
27,stevewoz,"I strongly urge IEEE members to vote for Tom Coughlin for IEEE President Elect. Tom has gone far beyond the call of duty as a friend to help me over the years.

Tom (Thomas M.) Coughlin
Candidate for IEEE President Elect in 2021
IEEE PE Campaign Webpage:  https://t.co/jbvjFH2ZEC"
28,stevewoz,My friend Jeff Cable may lose some weight at the Olympics! https://t.co/RSEiWGaHqv
29,stevewoz,"My good friend, Jeff Cable, is back at his 7th Olympics in Tokyo and blogging behind the scenes every day. Check it out t https://t.co/iEwyyyEyTa"
30,stevewoz,@plinytheelder_t @gribneau @paulg And forced obsolescence came with computers.
31,stevewoz,"Education changed a lot and there is much more to be done. Steve Jobs only wanted the best, and for Apple Education, it meant John Couch. John forged the link between technology and how to better educate the young. These books tell a lot. https://t.co/kGdKYqF6sv"
32,stevewoz,"A song that was sent to me by one of the jurors in my copyright trial, which ended today. I really like this song and video.
https://t.co/Wqxzo8bXVe"
33,stevewoz,Excited to see @emilelearning @chicagovilardo @felixruanoc announce a $5.3M round led by Kleiner Perkins! @BookCameo CEO @Mr312 and CBO @Arthur_Leopold  are also early investors - love seeing the best minds in entertainment help develop a GenZ-centric educational experience.
34,stevewoz,@kometbomb We’ve come a long way since Breakout!
35,stevewoz,"Join me on April 20 with @ZiaHayat for a closing Q&amp;A session @Callsign Identify First #IF2021
https://t.co/0t71NrPrO6 https://t.co/eVKr1hukKs"
36,stevewoz,"Looking forward to joining @ZiaHayat for a special Q&amp;A at the @Callsign Identity First event on April 20 #IF2021
Identify First https://t.co/8xQtbM9An5. https://t.co/Lgu29XD4Eg"
37,stevewoz,"I will be joining the Lenovo’s Middle East &amp; Africa event on the 25th March to Re-Imagine the Future of Work. See you there!
Thanks"
38,stevewoz,I will be joining the Lenovo’s Middle East &amp; Africa event on the 25th March to Re-Imagine the Future of Work. See you there!
39,stevewoz,My good friend John Couch recently made a new and really delicious Chardonnay at Eden Estate Wine.  It’s my new favorite Chardonnay.  Introducing Woz Chardonnay! https://t.co/gKoLIeV5WS
40,stevewoz,"GOOD helpful friend, Tom Coughlin, is running for IEEE President Elect in 2021. You can find the petition here:  https://t.co/Kwfx81XKcO. IEEE graduate students and higher grade members can sign the petition. I did.

Also https://t.co/jbvjFHkAwa"
